Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,121.987,-6.352,144.000,15.000,-3593.000,-10149.000,121.916,-6.397
0.001,122.166,-6.269,144.000,15.000,-3590.000,-10150.000,122.047,-6.324
0.002,122.267,-6.174,144.000,15.000,-3588.000,-10151.000,122.186,-6.244
0.003,122.361,-6.114,144.000,15.000,-3586.000,-10152.000,122.303,-6.158
0.004,122.498,-5.981,144.000,15.000,-3583.000,-10154.000,122.403,-6.070
0.005,122.591,-5.900,144.000,15.000,-3581.000,-10155.000,122.518,-5.966
0.006,122.684,-5.840,144.000,15.000,-3579.000,-10156.000,122.623,-5.877
0.007,122.800,-5.781,144.000,15.000,-3577.000,-10157.000,122.719,-5.819
0.008,122.865,-5.671,144.000,15.000,-3575.000,-10159.000,122.815,-5.749
0.009,122.980,-5.590,144.000,15.000,-3573.000,-10160.000,122.905,-5.654
0.010,123.074,-5.544,144.000,15.000,-3571.000,-10161.000,123.002,-5.573
0.011,123.239,-5.411,144.000,15.000,-3568.000,-10162.000,123.124,-5.500
0.012,123.326,-5.324,144.000,15.000,-3566.000,-10164.000,123.257,-5.397
0.013,123.469,-5.240,144.000,15.000,-3563.000,-10165.000,123.377,-5.295
0.014,123.656,-5.143,144.000,15.000,-3560.000,-10166.000,123.519,-5.209
0.015,123.700,-5.056,144.000,15.000,-3558.000,-10168.000,123.662,-5.120
0.016,123.815,-4.974,144.000,15.000,-3556.000,-10169.000,123.752,-5.031
0.017,123.938,-4.827,144.000,15.000,-3554.000,-10171.000,123.844,-4.930
0.018,124.031,-4.768,144.000,15.000,-3551.000,-10172.000,123.961,-4.818
0.019,124.119,-4.680,144.000,15.000,-3549.000,-10174.000,124.062,-4.732
0.020,124.212,-4.599,144.000,15.000,-3547.000,-10175.000,124.148,-4.658
0.021,124.377,-4.516,144.000,15.000,-3544.000,-10176.000,124.259,-4.576
0.022,124.514,-4.390,144.000,15.000,-3541.000,-10178.000,124.408,-4.479
0.023,124.679,-4.257,144.000,15.000,-3538.000,-10179.000,124.566,-4.356
0.024,124.866,-4.130,144.000,15.000,-3534.000,-10181.000,124.732,-4.221
0.025,125.053,-4.033,144.000,15.000,-3531.000,-10182.000,124.917,-4.100
0.026,125.168,-3.930,144.000,15.000,-3528.000,-10184.000,125.087,-3.999
