Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-52.184,43.385,-62.463,76.085,-6059.000,-11872.000,0.000,0.000
0.005,-52.264,43.870,-62.463,76.085,-6060.000,-11884.000,0.000,0.000
0.010,-52.264,44.302,-62.463,76.085,-6060.000,-11895.000,0.000,0.000
0.015,-52.307,44.642,-62.463,76.085,-6061.000,-11903.000,0.000,0.000
0.020,-52.307,44.962,-62.463,76.085,-6061.000,-11911.000,0.000,0.000
0.025,-52.307,45.282,-62.463,76.085,-6061.000,-11919.000,0.000,0.000
0.030,-52.373,45.586,-62.463,76.085,-6062.000,-11927.000,0.000,0.000
0.035,-52.373,45.906,-62.463,76.085,-6062.000,-11935.000,0.000,0.000
0.040,-52.373,46.226,-62.463,76.085,-6062.000,-11943.000,0.000,0.000
0.045,-52.373,46.574,-62.463,76.085,-6062.000,-11952.000,0.000,0.000
0.050,-52.417,46.978,-62.463,76.085,-6063.000,-11961.000,0.000,0.000
0.055,-52.417,47.256,-62.463,76.085,-6063.000,-11968.000,0.000,0.000
0.060,-52.417,47.576,108.393,-52.597,-6063.000,-11976.000,0.000,0.000
0.065,-52.460,47.894,108.393,-52.597,-6064.000,-11984.000,0.000,0.000
0.070,-52.460,48.131,108.393,-52.597,-6064.000,-11990.000,0.000,0.000
0.075,-52.526,48.387,108.393,-52.597,-6065.000,-11996.000,0.000,0.000
0.080,-52.578,48.622,108.393,-52.597,-6066.000,-12002.000,0.000,0.000
0.085,-52.578,48.900,108.393,-52.597,-6066.000,-12009.000,0.000,0.000
0.090,-52.687,49.182,108.393,-52.597,-6068.000,-12016.000,0.000,0.000
0.095,-52.673,49.516,108.393,-52.597,-6068.000,-12024.000,0.000,0.000
0.100,-52.760,49.862,108.393,-52.597,-6070.000,-12032.000,0.000,0.000
0.105,-52.746,50.182,108.393,-52.597,-6070.000,-12040.000,0.000,0.000
0.110,-52.812,50.542,108.393,-52.597,-6071.000,-12048.000,0.000,0.000
0.115,-52.907,50.866,108.393,-52.597,-6072.000,-12057.000,0.000,0.000
0.120,-52.907,51.186,108.393,-52.597,-6073.000,-12065.000,0.000,0.000
0.125,-53.003,51.566,108.393,-52.597,-6075.000,-12074.000,0.000,0.000
0.130,-52.989,51.886,108.393,-52.597,-6075.000,-12082.000,0.000,0.000
0.135,-53.054,52.212,108.393,-52.597,-6076.000,-12090.000,0.000,0.000
0.140,-53.084,52.552,108.393,-52.597,-6077.000,-12098.000,0.000,0.000
0.145,-53.114,52.829,108.393,-52.597,-6078.000,-12105.000,0.000,0.000
0.150,-53.165,53.169,108.393,-52.597,-6079.000,-12113.000,0.000,0.000
