Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-31.396,59.635,-62.463,76.085,-5669.000,-12352.000,-31.244,59.580
0.001,-31.593,59.782,-62.463,76.085,-5672.000,-12355.000,-31.452,59.682
0.002,-31.768,59.882,-62.463,76.085,-5676.000,-12357.000,-31.647,59.803
0.003,-31.921,59.989,-62.463,76.085,-5679.000,-12359.000,-31.816,59.918
0.004,-32.139,60.073,-62.463,76.085,-5682.000,-12361.000,-31.987,60.014
0.005,-32.270,60.180,-62.463,76.085,-5686.000,-12363.000,-32.169,60.106
0.006,-32.445,60.280,-62.463,76.085,-5689.000,-12365.000,-32.332,60.206
0.007,-32.598,60.365,-62.463,76.085,-5692.000,-12367.000,-32.486,60.305
0.008,-32.737,60.451,-62.463,76.085,-5695.000,-12369.000,-32.640,60.392
0.009,-32.912,60.572,-62.463,76.085,-5698.000,-12371.000,-32.791,60.486
0.010,-32.999,60.660,-62.463,76.085,-5700.000,-12373.000,-32.933,60.593
0.011,-33.152,60.703,-62.463,76.085,-5703.000,-12374.000,-33.054,60.677
0.012,-33.283,60.805,-62.463,76.085,-5705.000,-12376.000,-33.184,60.739
0.013,-33.415,60.890,-62.463,76.085,-5708.000,-12378.000,-33.323,60.822
0.014,-33.575,60.948,-62.463,76.085,-5711.000,-12379.000,-33.463,60.908
0.015,-33.728,61.014,-62.463,76.085,-5714.000,-12380.000,-33.616,60.972
0.016,-33.947,61.133,-62.463,76.085,-5718.000,-12382.000,-33.793,61.048
0.017,-34.078,61.177,-62.463,76.085,-5721.000,-12383.000,-33.978,61.139
0.018,-34.297,61.241,-62.463,76.085,-5725.000,-12384.000,-34.152,61.205
0.019,-34.501,61.346,-62.463,76.085,-5729.000,-12386.000,-34.347,61.270
0.020,-34.654,61.404,-62.463,76.085,-5732.000,-12387.000,-34.546,61.356
0.021,-34.807,61.470,-62.463,76.085,-5735.000,-12388.000,-34.707,61.429
0.022,-34.968,61.527,-62.463,76.085,-5738.000,-12389.000,-34.854,61.487
0.023,-35.099,61.571,-62.463,76.085,-5741.000,-12390.000,-35.004,61.540
0.024,-35.208,61.673,-62.463,76.085,-5743.000,-12392.000,-35.135,61.603
0.025,-35.383,61.716,-62.463,76.085,-5746.000,-12393.000,-35.262,61.678
0.026,-35.457,61.798,-62.463,76.085,-5748.000,-12394.000,-35.396,61.747
0.027,-35.631,61.842,-62.463,76.085,-5751.000,-12395.000,-35.520,61.807
0.028,-35.741,61.901,-62.463,76.085,-5753.000,-12396.000,-35.653,61.863
0.029,-35.850,61.925,-62.463,76.085,-5755.000,-12397.000,-35.779,61.907
0.030,-35.989,62.005,-62.463,76.085,-5758.000,-12398.000,-35.892,61.952
0.031,-36.098,62.051,108.393,-52.597,-5760.000,-12399.000,-36.016,62.012
0.032,-36.207,62.110,108.393,-52.597,-5762.000,-12400.000,-36.133,62.072
0.033,-36.295,62.156,108.393,-52.597,-5764.000,-12401.000,-36.234,62.123
0.034,-36.434,62.214,108.393,-52.597,-5767.000,-12402.000,-36.338,62.174
0.035,-36.565,62.260,108.393,-52.597,-5769.000,-12403.000,-36.466,62.226
0.036,-36.696,62.339,108.393,-52.597,-5772.000,-12404.000,-36.604,62.284
0.037,-36.857,62.383,108.393,-52.597,-5775.000,-12405.000,-36.744,62.348
0.038,-37.010,62.463,108.393,-52.597,-5778.000,-12406.000,-36.898,62.411
0.039,-37.163,62.507,108.393,-52.597,-5781.000,-12407.000,-37.055,62.472
0.040,-37.324,62.564,108.393,-52.597,-5784.000,-12408.000,-37.211,62.527
0.041,-37.477,62.630,108.393,-52.597,-5786.000,-12409.000,-37.367,62.583
0.042,-37.586,62.690,108.393,-52.597,-5789.000,-12410.000,-37.510,62.646
0.043,-37.681,62.714,108.393,-52.597,-5791.000,-12411.000,-37.619,62.698
0.044,-37.769,62.795,108.393,-52.597,-5793.000,-12412.000,-37.708,62.742
0.045,-37.943,62.839,108.393,-52.597,-5796.000,-12413.000,-37.820,62.801
0.046,-38.039,62.857,108.393,-52.597,-5798.000,-12413.000,-37.961,62.848
0.047,-38.126,62.917,108.393,-52.597,-5800.000,-12414.000,-38.074,62.879
0.048,-38.235,62.962,108.393,-52.597,-5802.000,-12415.000,-38.161,62.924
0.049,-38.331,63.022,108.393,-52.597,-5804.000,-12416.000,-38.259,62.981
0.050,-38.484,63.046,108.393,-52.597,-5807.000,-12416.000,-38.377,63.028
0.051,-38.593,63.084,108.393,-52.597,-5809.000,-12417.000,-38.510,63.061
0.052,-38.688,63.130,108.393,-52.597,-5811.000,-12418.000,-38.626,63.096
0.053,-38.776,63.169,108.393,-52.597,-5813.000,-12418.000,-38.717,63.140
0.054,-38.907,63.207,108.393,-52.597,-5815.000,-12419.000,-38.814,63.182
0.055,-39.002,63.253,108.393,-52.597,-5817.000,-12420.000,-38.929,63.221
0.056,-39.111,63.271,108.393,-52.597,-5819.000,-12420.000,-39.039,63.257
0.057,-39.199,63.353,108.393,-52.597,-5821.000,-12421.000,-39.136,63.298
0.058,-39.308,63.335,108.393,-52.597,-5823.000,-12421.000,-39.233,63.340
0.059,-39.403,63.394,108.393,-52.597,-5825.000,-12422.000,-39.333,63.364
0.060,-39.556,63.418,108.393,-52.597,-5828.000,-12422.000,-39.450,63.393
0.061,-39.666,63.478,108.393,-52.597,-5830.000,-12423.000,-39.582,63.438
0.062,-39.761,63.496,108.393,-52.597,-5832.000,-12423.000,-39.699,63.480
0.063,-39.870,63.500,108.393,-52.597,-5834.000,-12423.000,-39.796,63.502
