Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.001,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.002,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.003,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.004,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.005,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.006,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.007,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.008,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.009,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.010,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.011,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.012,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.013,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.014,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.015,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.016,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.017,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.018,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.019,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.020,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.021,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.022,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.023,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.024,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.025,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.026,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.027,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.028,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
0.029,-127.881,42.884,-90.000,30.000,-7407.000,-11327.000,-127.881,42.884
