Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm)
0.000,-35.654,86.966,-62.463,76.085
0.005,-37.116,87.173,-62.463,76.085
0.010,-38.535,87.373,-62.463,76.085
0.015,-40.003,87.600,-62.463,76.085
0.020,-41.408,87.821,-62.463,76.085
0.025,-42.842,88.035,-62.463,76.085
0.030,-43.938,88.237,-62.463,76.085
0.035,-44.858,88.343,-62.463,76.085
0.040,-45.729,88.463,-62.463,76.085
0.045,-46.558,88.472,-62.463,76.085
0.050,-47.535,88.473,-62.463,76.085
0.055,-48.666,88.550,-62.463,76.085
0.060,-49.832,88.606,-62.463,76.085
0.065,-50.921,88.586,-62.463,76.085
0.070,-51.898,88.615,108.393,-52.597
0.075,-52.853,88.589,108.393,-52.597
0.080,-53.788,88.563,108.393,-52.597
0.085,-54.610,88.510,108.393,-52.597
0.090,-55.424,88.422,108.393,-52.597
0.095,-56.197,88.342,108.393,-52.597
0.100,-56.878,88.303,108.393,-52.597
0.105,-57.574,88.279,108.393,-52.597
0.110,-58.199,88.282,108.393,-52.597
0.115,-58.825,88.300,108.393,-52.597
0.120,-59.387,88.346,108.393,-52.597
0.125,-59.886,88.399,108.393,-52.597
0.130,-60.406,88.424,108.393,-52.597
0.135,-60.834,88.477,108.393,-52.597
0.140,-61.242,88.531,108.393,-52.597
0.145,-61.621,88.535,108.393,-52.597
0.150,-61.896,88.576,108.393,-52.597
0.155,-62.205,88.546,108.393,-52.597
0.160,-62.437,88.566,108.393,-52.597
0.165,-62.612,88.530,108.393,-52.597
0.170,-62.739,88.530,108.393,-52.597
0.175,-62.830,88.509,108.393,-52.597
0.180,-62.907,88.425,108.393,-52.597
0.185,-62.907,88.383,108.393,-52.597
0.190,-62.921,88.313,108.393,-52.597
0.195,-62.949,88.230,108.393,-52.597
0.200,-62.949,88.188,108.393,-52.597
0.205,-62.963,88.105,108.393,-52.597
0.210,-62.977,88.035,108.393,-52.597
0.215,-62.990,88.007,108.393,-52.597
0.220,-63.004,87.924,108.393,-52.597
0.225,-63.004,87.882,108.393,-52.597
0.230,-63.032,87.798,108.393,-52.597
0.235,-63.032,87.771,108.393,-52.597
0.240,-63.046,87.687,108.393,-52.597
0.245,-63.060,87.645,108.393,-52.597
0.250,-63.074,87.562,108.393,-52.597
0.255,-63.088,87.492,108.393,-52.597
0.260,-63.102,87.409,108.393,-52.597
0.265,-63.130,87.284,108.393,-52.597
0.270,-63.144,87.186,108.393,-52.597
0.275,-63.171,87.061,108.393,-52.597
0.280,-63.185,86.950,108.393,-52.597
0.285,-63.213,86.824,108.393,-52.597
0.290,-63.241,86.657,108.393,-52.597
0.295,-63.269,86.546,108.393,-52.597
0.300,-63.297,86.393,108.393,-52.597
0.305,-63.311,86.282,108.393,-52.597
0.310,-63.338,86.115,108.393,-52.597
0.315,-63.366,85.962,108.393,-52.597
0.320,-63.394,85.836,108.393,-52.597
0.325,-63.422,85.683,108.393,-52.597
0.330,-63.450,85.544,108.393,-52.597
0.335,-63.478,85.377,108.393,-52.597
0.340,-63.505,85.224,108.393,-52.597
0.345,-63.533,85.057,108.393,-52.597
0.350,-63.561,84.904,108.393,-52.597
0.355,-63.589,84.751,108.393,-52.597
0.360,-63.567,84.598,108.393,-52.597
0.365,-63.504,84.383,108.393,-52.597
0.370,-63.258,84.127,108.393,-52.597
0.375,-62.899,83.857,108.393,-52.597
0.380,-62.442,83.561,108.393,-52.597
0.385,-61.718,83.189,108.393,-52.597
0.390,-61.014,82.797,108.393,-52.597
0.395,-60.206,82.391,108.393,-52.597
0.400,-59.440,81.970,108.393,-52.597
0.405,-58.765,81.592,108.393,-52.597
0.410,-58.062,81.136,108.393,-52.597
0.415,-57.548,80.757,108.393,-52.597
0.420,-56.937,80.336,108.393,-52.597
0.425,-56.444,79.907,108.393,-52.597
0.430,-55.896,79.424,108.393,-52.597
0.435,-55.270,78.968,108.393,-52.597
0.440,-54.645,78.457,108.393,-52.597
0.445,-53.977,77.939,108.393,-52.597
0.450,-53.197,77.408,108.393,-52.597
0.455,-52.550,76.848,108.393,-52.597
0.460,-51.791,76.275,108.393,-52.597
0.465,-51.046,75.688,108.393,-52.597
0.470,-50.294,75.143,108.393,-52.597
0.475,-49.570,74.569,108.393,-52.597
0.480,-48.888,73.961,108.393,-52.597
