Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-69.047,42.046,-62.463,76.085,-6365.000,-11757.000,0.000,0.000
0.005,-68.880,42.836,-62.463,76.085,-6362.000,-11778.000,0.000,0.000
0.010,-68.743,43.583,-62.463,76.085,-6360.000,-11797.000,0.000,0.000
0.015,-68.554,44.102,-62.463,76.085,-6357.000,-11811.000,0.000,0.000
0.020,-68.379,44.468,-62.463,76.085,-6354.000,-11821.000,0.000,0.000
0.025,-68.191,44.792,-62.463,76.085,-6351.000,-11830.000,0.000,0.000
0.030,-68.103,45.155,-62.463,76.085,-6349.000,-11840.000,0.000,0.000
0.035,-67.915,45.604,-62.463,76.085,-6346.000,-11852.000,0.000,0.000
0.040,-67.770,46.101,-62.463,76.085,-6344.000,-11865.000,0.000,0.000
0.045,-67.589,46.654,-62.463,76.085,-6341.000,-11880.000,0.000,0.000
0.050,-67.466,47.234,-62.463,76.085,-6339.000,-11894.000,0.000,0.000
0.055,-67.328,47.815,-62.463,76.085,-6337.000,-11909.000,0.000,0.000
0.060,-67.205,48.374,108.393,-52.597,-6335.000,-11924.000,0.000,0.000
0.065,-67.003,48.906,108.393,-52.597,-6332.000,-11939.000,0.000,0.000
0.070,-66.880,49.403,108.393,-52.597,-6330.000,-11952.000,0.000,0.000
0.075,-66.713,49.705,108.393,-52.597,-6327.000,-11961.000,0.000,0.000
0.080,-66.502,49.988,108.393,-52.597,-6324.000,-11969.000,0.000,0.000
0.085,-66.379,50.248,108.393,-52.597,-6322.000,-11976.000,0.000,0.000
0.090,-66.278,50.528,108.393,-52.597,-6320.000,-11984.000,0.000,0.000
0.095,-66.103,50.769,108.393,-52.597,-6317.000,-11991.000,0.000,0.000
0.100,-65.958,51.085,108.393,-52.597,-6315.000,-11999.000,0.000,0.000
0.105,-65.791,51.367,108.393,-52.597,-6312.000,-12007.000,0.000,0.000
0.110,-65.668,51.647,108.393,-52.597,-6310.000,-12015.000,0.000,0.000
0.115,-65.479,51.971,108.393,-52.597,-6307.000,-12024.000,0.000,0.000
0.120,-65.356,52.273,108.393,-52.597,-6305.000,-12032.000,0.000,0.000
