Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,-47.502,44.144,-62.463,76.085,-5973.000,-11910.000,-47.500,44.004
0.001,-47.516,44.896,-62.463,76.085,-5973.000,-11929.000,-47.508,44.366
0.002,-47.516,45.091,-62.463,76.085,-5973.000,-11934.000,-47.515,44.886
0.003,-47.530,45.299,-62.463,76.085,-5973.000,-11939.000,-47.522,45.219
0.004,-47.530,45.466,-62.463,76.085,-5973.000,-11943.000,-47.529,45.358
0.005,-47.530,45.661,-62.463,76.085,-5973.000,-11948.000,-47.531,45.517
0.006,-47.530,45.814,-62.463,76.085,-5973.000,-11952.000,-47.530,45.701
0.007,-47.530,45.981,-62.463,76.085,-5973.000,-11956.000,-47.530,45.869
0.008,-47.530,46.134,-62.463,76.085,-5973.000,-11960.000,-47.530,46.025
0.009,-47.530,46.260,-62.463,76.085,-5973.000,-11963.000,-47.530,46.172
0.010,-47.544,46.371,-62.463,76.085,-5973.000,-11966.000,-47.534,46.296
0.011,-47.544,46.496,-62.463,76.085,-5973.000,-11968.000,-47.542,46.409
0.012,-47.544,46.580,-62.463,76.085,-5973.000,-11971.000,-47.546,46.518
0.013,-47.544,46.691,-62.463,76.085,-5973.000,-11974.000,-47.544,46.617
0.014,-47.544,46.775,-62.463,76.085,-5973.000,-11976.000,-47.544,46.713
0.015,-47.544,46.858,-62.463,76.085,-5973.000,-11978.000,-47.544,46.802
0.016,-47.544,46.928,-62.463,76.085,-5973.000,-11980.000,-47.544,46.879
0.017,-47.544,47.011,-62.463,76.085,-5973.000,-11982.000,-47.544,46.953
0.018,-47.544,47.095,-62.463,76.085,-5973.000,-11984.000,-47.544,47.034
0.019,-47.544,47.164,-62.463,76.085,-5973.000,-11986.000,-47.544,47.115
0.020,-47.544,47.248,-62.463,76.085,-5973.000,-11988.000,-47.544,47.191
0.021,-47.544,47.331,-62.463,76.085,-5973.000,-11990.000,-47.544,47.270
0.022,-47.544,47.415,-62.463,76.085,-5973.000,-11992.000,-47.544,47.355
0.023,-47.544,47.484,-62.463,76.085,-5973.000,-11994.000,-47.544,47.435
0.024,-47.544,47.609,-62.463,76.085,-5973.000,-11996.000,-47.544,47.523
0.025,-47.544,47.693,-62.463,76.085,-5973.000,-11999.000,-47.544,47.627
0.026,-47.544,47.763,-62.463,76.085,-5973.000,-12001.000,-47.544,47.718
0.027,-47.544,47.846,-62.463,76.085,-5973.000,-12003.000,-47.544,47.790
0.028,-47.544,47.930,108.393,-52.597,-5973.000,-12005.000,-47.544,47.868
0.029,-47.544,48.041,108.393,-52.597,-5973.000,-12008.000,-47.544,47.962
0.030,-47.544,48.124,108.393,-52.597,-5973.000,-12010.000,-47.544,48.062
0.031,-47.544,48.250,108.393,-52.597,-5973.000,-12013.000,-47.544,48.165
0.032,-47.544,48.319,108.393,-52.597,-5973.000,-12015.000,-47.544,48.265
0.033,-47.544,48.444,108.393,-52.597,-5973.000,-12018.000,-47.544,48.362
0.034,-47.544,48.570,108.393,-52.597,-5973.000,-12021.000,-47.544,48.475
0.035,-47.544,48.639,108.393,-52.597,-5973.000,-12023.000,-47.544,48.589
0.036,-47.544,48.765,108.393,-52.597,-5973.000,-12026.000,-47.544,48.684
0.037,-47.544,48.876,108.393,-52.597,-5973.000,-12029.000,-47.544,48.791
0.038,-47.544,48.959,108.393,-52.597,-5973.000,-12031.000,-47.544,48.901
0.039,-47.544,49.071,108.393,-52.597,-5973.000,-12034.000,-47.544,48.996
0.040,-47.544,49.196,108.393,-52.597,-5973.000,-12037.000,-47.544,49.104
0.041,-47.544,49.307,108.393,-52.597,-5973.000,-12040.000,-47.544,49.226
0.042,-47.544,49.391,108.393,-52.597,-5973.000,-12042.000,-47.544,49.334
0.043,-47.544,49.516,108.393,-52.597,-5973.000,-12045.000,-47.544,49.431
0.044,-47.544,49.586,108.393,-52.597,-5973.000,-12047.000,-47.544,49.531
0.045,-47.544,49.711,108.393,-52.597,-5973.000,-12050.000,-47.544,49.628
0.046,-47.544,49.794,108.393,-52.597,-5973.000,-12052.000,-47.544,49.729
0.047,-47.544,49.864,108.393,-52.597,-5973.000,-12054.000,-47.544,49.819
0.048,-47.544,49.989,108.393,-52.597,-5973.000,-12057.000,-47.544,49.903
0.049,-47.544,50.073,108.393,-52.597,-5973.000,-12059.000,-47.544,50.006
0.050,-47.544,50.156,108.393,-52.597,-5973.000,-12061.000,-47.544,50.102
0.051,-47.544,50.226,108.393,-52.597,-5973.000,-12063.000,-47.544,50.178
0.052,-47.544,50.309,108.393,-52.597,-5973.000,-12065.000,-47.544,50.251
0.053,-47.544,50.393,108.393,-52.597,-5973.000,-12067.000,-47.544,50.332
0.054,-47.544,50.462,108.393,-52.597,-5973.000,-12069.000,-47.544,50.413
0.055,-47.544,50.546,108.393,-52.597,-5973.000,-12071.000,-47.544,50.489
0.056,-47.544,50.629,108.393,-52.597,-5973.000,-12073.000,-47.544,50.569
0.057,-47.544,50.713,108.393,-52.597,-5973.000,-12075.000,-47.544,50.653
0.058,-47.544,50.782,108.393,-52.597,-5973.000,-12077.000,-47.544,50.733
0.059,-47.544,50.824,108.393,-52.597,-5973.000,-12078.000,-47.544,50.796
0.060,-47.544,50.908,108.393,-52.597,-5973.000,-12080.000,-47.544,50.852
0.061,-47.544,50.991,108.393,-52.597,-5973.000,-12082.000,-47.544,50.927
0.062,-47.544,51.019,108.393,-52.597,-5973.000,-12083.000,-47.544,50.999
0.063,-47.544,51.102,108.393,-52.597,-5973.000,-12085.000,-47.544,51.051
0.064,-47.544,51.144,108.393,-52.597,-5973.000,-12086.000,-47.544,51.108
0.065,-47.544,51.228,108.393,-52.597,-5973.000,-12088.000,-47.544,51.172
0.066,-47.478,51.271,108.393,-52.597,-5972.000,-12089.000,-47.525,51.237
0.067,-47.478,51.313,108.393,-52.597,-5972.000,-12090.000,-47.486,51.288
0.068,-47.435,51.293,108.393,-52.597,-5971.000,-12090.000,-47.458,51.308
0.069,-47.369,51.337,108.393,-52.597,-5970.000,-12091.000,-47.419,51.313
0.070,-47.325,51.317,108.393,-52.597,-5969.000,-12091.000,-47.360,51.323
0.071,-47.216,51.257,108.393,-52.597,-5967.000,-12090.000,-47.290,51.306
0.072,-47.107,51.253,108.393,-52.597,-5965.000,-12090.000,-47.191,51.262
0.073,-46.954,51.174,108.393,-52.597,-5963.000,-12089.000,-47.063,51.222
0.074,-46.845,51.128,108.393,-52.597,-5960.000,-12088.000,-46.926,51.168
0.075,-46.735,51.068,108.393,-52.597,-5958.000,-12087.000,-46.807,51.108
0.076,-46.583,51.003,108.393,-52.597,-5955.000,-12086.000,-46.690,51.049
0.077,-46.473,50.943,108.393,-52.597,-5953.000,-12085.000,-46.557,50.986
0.078,-46.342,50.883,108.393,-52.597,-5951.000,-12084.000,-46.430,50.925
