Time (s),End Effector X (mm),End Effector Y (mm),Target X (mm),Target Y (mm),Theta 1,Theta 2,Omega 1,Omega 2
0.000,57.508,52.857,27.000,-45.000,-4025.000,-12086.000,57.673,52.896
0.001,56.989,52.774,27.000,-45.000,-4035.000,-12086.000,57.361,52.835
0.002,56.759,52.731,27.000,-45.000,-4038.000,-12086.000,56.956,52.765
0.003,56.550,52.687,27.000,-45.000,-4043.000,-12086.000,56.662,52.713
0.004,56.333,52.643,27.000,-45.000,-4047.000,-12086.000,56.478,52.674
0.005,56.125,52.622,27.000,-45.000,-4051.000,-12086.000,56.279,52.638
0.006,55.916,52.564,27.000,-45.000,-4054.000,-12086.000,56.064,52.602
0.007,55.801,52.560,27.000,-45.000,-4057.000,-12086.000,55.881,52.567
0.008,55.584,52.517,27.000,-45.000,-4061.000,-12086.000,55.726,52.541
0.009,55.433,52.497,27.000,-45.000,-4064.000,-12086.000,55.553,52.515
0.010,55.274,52.455,27.000,-45.000,-4067.000,-12086.000,55.381,52.483
0.011,55.066,52.412,27.000,-45.000,-4071.000,-12086.000,55.212,52.445
0.012,54.835,52.368,27.000,-45.000,-4075.000,-12086.000,55.005,52.400
0.013,54.641,52.346,27.000,-45.000,-4079.000,-12086.000,54.781,52.361
0.014,54.432,52.311,27.000,-45.000,-4083.000,-12086.000,54.574,52.333
0.015,54.202,52.267,27.000,-45.000,-4087.000,-12086.000,54.366,52.300
0.016,54.007,52.224,27.000,-45.000,-4091.000,-12086.000,54.148,52.256
0.017,53.719,52.178,27.000,-45.000,-4095.000,-12086.000,53.918,52.210
0.018,53.466,52.119,27.000,-45.000,-4101.000,-12086.000,53.656,52.161
0.019,53.214,52.095,27.000,-45.000,-4106.000,-12086.000,53.389,52.113
0.020,52.984,52.051,27.000,-45.000,-4110.000,-12086.000,53.145,52.078
0.021,52.811,52.032,27.000,-45.000,-4113.000,-12086.000,52.931,52.048
0.022,52.616,51.988,27.000,-45.000,-4117.000,-12086.000,52.747,52.017
0.023,52.328,51.929,27.000,-45.000,-4122.000,-12086.000,52.535,51.973
0.024,52.076,51.905,27.000,-45.000,-4126.000,-12086.000,52.267,51.924
0.025,51.845,51.861,27.000,-45.000,-4131.000,-12086.000,52.003,51.887
0.026,51.651,51.818,27.000,-45.000,-4135.000,-12086.000,51.783,51.851
0.027,51.420,51.774,27.000,-45.000,-4139.000,-12086.000,51.580,51.806
0.028,51.225,51.752,27.000,-45.000,-4143.000,-12086.000,51.368,51.767
0.029,51.009,51.695,27.000,-45.000,-4147.000,-12086.000,51.158,51.733
0.030,50.778,51.673,27.000,-45.000,-4151.000,-12086.000,50.943,51.693
0.031,50.468,51.626,27.000,-45.000,-4157.000,-12086.000,50.690,51.655
0.032,50.230,51.546,27.000,-45.000,-4162.000,-12085.000,50.408,51.605
0.033,50.013,51.475,27.000,-45.000,-4166.000,-12084.000,50.157,51.530
0.034,49.819,51.411,27.000,-45.000,-4170.000,-12083.000,49.952,51.455
0.035,49.630,51.284,27.000,-45.000,-4174.000,-12081.000,49.762,51.373
0.036,49.370,51.169,27.000,-45.000,-4179.000,-12079.000,49.554,51.259
0.037,49.102,51.005,27.000,-45.000,-4185.000,-12076.000,49.300,51.120
0.038,48.877,50.848,27.000,-45.000,-4190.000,-12073.000,49.037,50.963
0.039,48.645,50.649,27.000,-45.000,-4195.000,-12069.000,48.802,50.789
0.040,48.470,50.474,27.000,-45.000,-4199.000,-12065.000,48.594,50.602
0.041,48.273,50.234,27.000,-45.000,-4204.000,-12060.000,48.406,50.401
0.042,48.069,49.952,27.000,-45.000,-4209.000,-12054.000,48.216,50.158
0.043,47.806,49.690,27.000,-45.000,-4215.000,-12048.000,47.994,49.881
0.044,47.638,49.366,27.000,-45.000,-4220.000,-12041.000,47.764,49.591
0.045,47.433,49.070,27.000,-45.000,-4225.000,-12034.000,47.566,49.286
0.046,47.278,48.726,27.000,-45.000,-4230.000,-12026.000,47.391,48.966
0.047,47.087,48.333,27.000,-45.000,-4235.000,-12018.000,47.218,48.615
0.048,46.831,47.999,27.000,-45.000,-4242.000,-12009.000,47.016,48.241
0.049,46.668,47.564,27.000,-45.000,-4247.000,-11999.000,46.792,47.863
0.050,46.519,47.128,27.000,-45.000,-4252.000,-11990.000,46.613,47.447
0.051,46.321,46.713,27.000,-45.000,-4258.000,-11979.000,46.458,47.008
0.052,46.172,46.250,27.000,-45.000,-4263.000,-11968.000,46.285,46.573
0.053,45.987,45.835,27.000,-45.000,-4269.000,-11958.000,46.112,46.134
0.054,45.759,45.356,27.000,-45.000,-4275.000,-11947.000,45.923,45.690
0.055,45.560,44.933,27.000,-45.000,-4281.000,-11937.000,45.707,45.239
0.056,45.411,44.517,27.000,-45.000,-4286.000,-11928.000,45.512,44.805
0.057,45.155,44.122,27.000,-45.000,-4293.000,-11918.000,45.329,44.400
0.058,44.877,43.691,27.000,-45.000,-4300.000,-11909.000,45.087,43.994
0.059,44.656,43.296,27.000,-45.000,-4306.000,-11899.000,44.816,43.580
0.060,44.502,42.922,27.000,-45.000,-4311.000,-11890.000,44.602,43.182
0.061,44.224,42.527,27.000,-45.000,-4318.000,-11881.000,44.412,42.803
0.062,43.888,42.113,27.000,-45.000,-4326.000,-11872.000,44.142,42.409
0.063,43.667,41.740,27.000,-45.000,-4332.000,-11863.000,43.832,42.007
0.064,43.469,41.303,27.000,-45.000,-4338.000,-11854.000,43.592,41.606
0.065,43.191,40.927,27.000,-45.000,-4345.000,-11844.000,43.383,41.200
0.066,42.927,40.474,27.000,-45.000,-4352.000,-11834.000,43.126,40.788
0.067,42.662,40.029,27.000,-45.000,-4359.000,-11823.000,42.848,40.352
0.068,42.492,39.572,27.000,-45.000,-4365.000,-11813.000,42.610,39.895
0.069,42.271,39.135,27.000,-45.000,-4371.000,-11802.000,42.416,39.444
0.070,42.021,38.676,27.000,-45.000,-4378.000,-11791.000,42.204,38.998
0.071,41.699,38.235,27.000,-45.000,-4386.000,-11781.000,41.932,38.549
0.072,41.435,37.776,27.000,-45.000,-4393.000,-11771.000,41.629,38.099
0.073,41.171,37.337,27.000,-45.000,-4400.000,-11760.000,41.350,37.649
0.074,40.907,36.918,27.000,-45.000,-4407.000,-11750.000,41.092,37.212
0.075,40.585,36.445,27.000,-45.000,-4415.000,-11740.000,40.814,36.777
0.076,40.263,36.004,27.000,-45.000,-4423.000,-11729.000,40.498,36.323
0.077,39.955,35.543,27.000,-45.000,-4431.000,-11718.000,40.173,35.865
0.078,39.576,35.086,27.000,-45.000,-4440.000,-11708.000,39.841,35.410
0.079,39.254,34.667,27.000,-45.000,-4448.000,-11698.000,39.490,34.963
0.080,38.883,34.273,27.000,-45.000,-4457.000,-11689.000,39.139,34.547
0.081,38.481,33.817,27.000,-45.000,-4466.000,-11679.000,38.770,34.136
0.082,38.088,33.423,27.000,-45.000,-4475.000,-11670.000,38.371,33.710
0.083,37.695,33.030,27.000,-45.000,-4484.000,-11661.000,37.971,33.301
0.084,37.301,32.637,27.000,-45.000,-4493.000,-11652.000,37.579,32.913
0.085,36.850,32.219,27.000,-45.000,-4503.000,-11643.000,37.170,32.516
0.086,36.501,31.870,27.000,-45.000,-4511.000,-11635.000,36.755,32.120
0.087,35.984,31.431,27.000,-45.000,-4522.000,-11625.000,36.337,31.733
